"Position","Title","Views","Date","Image","Duration","Link"
1,"World’s Deadliest Obstacle Course!","57M views","1 day ago","https://i.ytimg.com/vi/PWirijQkH4M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBKdc7hUQ5L2mS8kOfFpmPfex5Ukw","28:25","https://www.youtube.com/watch?v=PWirijQkH4M"
2,"$10,000 Every Day You Survive In The Wilderness","135M views","2 weeks ago","https://i.ytimg.com/vi/U_LlX4t0A9I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJfm8WgrDAKsmsbis41lfftHUdaA","26:44","https://www.youtube.com/watch?v=U_LlX4t0A9I"
3,"Protect The Yacht, Keep It!","107M views","1 month ago","https://i.ytimg.com/vi/F6PqxbvOCUI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJSOA0nHQB8QH3OXHOaHt4d91Xeg","15:08","https://www.youtube.com/watch?v=F6PqxbvOCUI"
4,"In 10 Minutes This Room Will Explode!","104M views","1 month ago","https://i.ytimg.com/vi/Pv0iVoSZzN8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8XMucVT1WEbvEBVbt5mRtfkEsNg","10:00","https://www.youtube.com/watch?v=Pv0iVoSZzN8"
5,"Ages 1 - 100 Decide Who Wins $250,000","169M views","1 month ago","https://i.ytimg.com/vi/l-nMKJ5J3Uc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBY-wRMqqbLpetonwQMXAFpaGv1UQ","40:02","https://www.youtube.com/watch?v=l-nMKJ5J3Uc"
6,"7 Days Stranded On An Island","175M views","2 months ago","https://i.ytimg.com/vi/erLbbextvlY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjFgTLWSDvrJkBVVz9j-RVdU8k8A","22:26","https://www.youtube.com/watch?v=erLbbextvlY"
7,"Protect The Lamborghini, Keep It!","139M views","3 months ago","https://i.ytimg.com/vi/mKdjycj-7eE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYY-JOFLo-qjCGYiIJWbMjuEiBBg","19:01","https://www.youtube.com/watch?v=mKdjycj-7eE"
8,"I Survived 7 Days In An Abandoned City","185M views","3 months ago","https://i.ytimg.com/vi/tWYsfOSY9vY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_xSSNsVvIDuZ87InbCphhDf2DCA","17:24","https://www.youtube.com/watch?v=tWYsfOSY9vY"
9,"Face Your Biggest Fear To Win $800,000","223M views","4 months ago","https://i.ytimg.com/vi/KOEfDvr4DcQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn63fR8auBIYJD_-1xq9ZkkR4MkA","22:03","https://www.youtube.com/watch?v=KOEfDvr4DcQ"
10,"$1 vs $250,000,000 Private Island!","191M views","4 months ago","https://i.ytimg.com/vi/krsBRQbOPQ4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC12FdTErVHqEXPO9ru8weLW1w8GQ","16:59","https://www.youtube.com/watch?v=krsBRQbOPQ4"
11,"Protect $500,000 Keep It!","134M views","5 months ago","https://i.ytimg.com/vi/7ESeQBeikKs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkL9DLgYJ3RxKG8emBHM-5ZTrXow","15:34","https://www.youtube.com/watch?v=7ESeQBeikKs"
12,"I Spent 7 Days In Solitary Confinement","161M views","5 months ago","https://i.ytimg.com/vi/K_CbgLpvH9E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsNrT19tgoVsM3V0Pri3cC23qF3A","20:16","https://www.youtube.com/watch?v=K_CbgLpvH9E"
13,"I Saved 100 Dogs From Dying","193M views","5 months ago","https://i.ytimg.com/vi/lOKASgtr6kU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtYmIusxrJENdcjXkxrxz055-TlQ","15:03","https://www.youtube.com/watch?v=lOKASgtr6kU"
14,"Survive 100 Days Trapped, Win $500,000","248M views","6 months ago","https://i.ytimg.com/vi/9RhWXPcKBI8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUilHbCoEZPhEP2n86vPzanO2UGg","27:08","https://www.youtube.com/watch?v=9RhWXPcKBI8"
15,"$10,000 Every Day You Survive In A Grocery Store","264M views","6 months ago","https://i.ytimg.com/vi/tnTPaLOaHz8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMWz68Cc06bgDlk48U7tESiBz_2w","21:32","https://www.youtube.com/watch?v=tnTPaLOaHz8"
16,"$1 vs $10,000,000 Job!","179M views","6 months ago","https://i.ytimg.com/vi/Wdjh81uH6FU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCX6XzOS24YVtsrvF8uEoYhIJ9H-w","15:39","https://www.youtube.com/watch?v=Wdjh81uH6FU"
17,"I Spent 7 Days Buried Alive","173M views","6 months ago","https://i.ytimg.com/vi/7dYTw-jAYkY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByK2ggKFo5D24zkNFxnTv6lCdjjQ","18:34","https://www.youtube.com/watch?v=7dYTw-jAYkY"
18,"I Built 100 Wells In Africa","187M views","7 months ago","https://i.ytimg.com/vi/mwKJfNYwvm8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApFekob1AdmuxBZInxpmzIL7O_Zg","10:30","https://www.youtube.com/watch?v=mwKJfNYwvm8"
19,"World’s Deadliest Laser Maze!","195M views","7 months ago","https://i.ytimg.com/vi/QjvpjXdgugA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBw75-G0R6ArkeVxtQdRZIysCRHuQ","25:59","https://www.youtube.com/watch?v=QjvpjXdgugA"
20,"$1 vs $100,000,000 House!","227M views","8 months ago","https://i.ytimg.com/vi/3ryID_SwU5E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFWNGyQM9i1KkHqXGoXLN_Lej5eg","17:36","https://www.youtube.com/watch?v=3ryID_SwU5E"
21,"World's Most Dangerous Trap!","234M views","8 months ago","https://i.ytimg.com/vi/3OFj6l2tQ9s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBN5Hj-QhIrmKaGrBwxjd9ND2QMuw","19:48","https://www.youtube.com/watch?v=3OFj6l2tQ9s"
22,"$1 vs $100,000,000 Car!","296M views","9 months ago","https://i.ytimg.com/vi/KrLj6nc516A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnNauD6XK4j4G_S1EeA0e2H4Fy6g","16:28","https://www.youtube.com/watch?v=KrLj6nc516A"
23,"Lamborghini Vs World's Largest Shredder","185M views","9 months ago","https://i.ytimg.com/vi/vBpQ1SlfVtU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1XZYEQNNRGdkM0wDyFPtw0GumyA","14:59","https://www.youtube.com/watch?v=vBpQ1SlfVtU"
24,"Every Country On Earth Fights For $250,000!","192M views","9 months ago","https://i.ytimg.com/vi/J_z-W4UVHkw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAukZdsH1_54tPAOvTxzFJ4bLT__w","18:49","https://www.youtube.com/watch?v=J_z-W4UVHkw"
25,"$1 vs $250,000 Vacation!","269M views","10 months ago","https://i.ytimg.com/vi/jObOjhUkf50/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKxlTctPXu7R0D6JoTGebR3CUA7A","16:07","https://www.youtube.com/watch?v=jObOjhUkf50"
26,"7 Days Stranded At Sea","276M views","10 months ago","https://i.ytimg.com/vi/yhB3BgJyGl8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBpLDRgMoLp1aePEz9HJFWnGKyBw","18:05","https://www.youtube.com/watch?v=yhB3BgJyGl8"
27,"Train Vs Giant Pit","214M views","11 months ago","https://i.ytimg.com/vi/fuhE6PYnRMc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtZgoCo59h4Wdq4ondmpttc7ZFbA","10:36","https://www.youtube.com/watch?v=fuhE6PYnRMc"
28,"$1 vs $1,000,000,000 Yacht!","341M views","1 year ago","https://i.ytimg.com/vi/48h57PspBec/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAe7e_3colRWlB6Kst4bIyvfBFNbw","14:47","https://www.youtube.com/watch?v=48h57PspBec"
29,"Ages 1 - 100 Fight For $500,000","376M views","1 year ago","https://i.ytimg.com/vi/FM7Z-Xq8Drc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKaYXsc2DNKXWkVKQUT9l07JjvlA","25:36","https://www.youtube.com/watch?v=FM7Z-Xq8Drc"
30,"1,000 Deaf People Hear For The First Time","159M views","1 year ago","https://i.ytimg.com/vi/WTOm65IZneg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoNYkcKJ3b3xTX5Y89w5IiymubDg","6:14","https://www.youtube.com/watch?v=WTOm65IZneg"
31,"$1 vs $500,000 Plane Ticket!","389M views","1 year ago","https://i.ytimg.com/vi/1WEAJ-DFkHE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfHIKkwhDbz3Ym11geyybpgjv3AA","12:20","https://www.youtube.com/watch?v=1WEAJ-DFkHE"
32,"I Paid A Real Assassin To Try To Kill Me","270M views","1 year ago","https://i.ytimg.com/vi/YLt73w6criQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABtW4kevbqiqf_oB8hE8GglNQsww","12:17","https://www.youtube.com/watch?v=YLt73w6criQ"
